ESTU_CONSECUTIVO;ESTU_GENERO;ESTU_CODIGO_RESIDE_MCPIO;ESTU_RESIDE_MPIO;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_BIOLOGIA;PUNT_QUIMICA;PUNT_FISICA;PUNT_INGLES;DESEMP_INGLES;COLE_CODIGO_COLEGIO_FK
SABER1120121000061;F;76001;CALI;61;46;64;60;47;53;60;52;A1;142885
SABER1120121000062;F;76001;CALI;54;49;40;55;57;47;47;40;A-;142893
SABER1120121000063;F;76001;CALI;38;33;44;30;37;40;43;33;A-;144626
SABER1120121000064;F;76001;CALI;54;60;45;30;47;48;46;35;A-;147264
SABER1120121000065;M;76001;CALI;54;68;52;48;53;58;62;56;A2;147272
SABER1120121000066;M;76001;CALI;54;43;49;50;55;50;49;50;A1;147645
SABER1120121000067;F;76001;CALI;50;43;49;32;39;42;33;39;A-;147850
SABER1120121000068;M;76001;CALI;59;40;54;52;45;44;43;47;A1;147868
SABER1120121000069;F;76001;CALI;63;44;51;61;58;56;47;50;A1;147892
SABER1120121000070;M;76001;CALI;52;46;50;39;51;52;39;43;A1;147983
SABER1120121000071;F;76001;CALI;61;62;56;57;49;57;60;56;A2;147991
SABER1120121000072;F;76001;CALI;44;54;45;30;42;35;46;43;A-;148049
SABER1120121000073;F;76001;CALI;61;68;58;58;53;60;57;53;A2;148189
SABER1120121000074;M;76001;CALI;63;57;58;67;51;32;43;47;A1;148239
SABER1120121000075;M;76001;CALI;48;40;40;46;42;44;39;40;A-;149344
SABER1120121000076;F;76001;CALI;56;52;48;55;53;50;52;43;A1;149351
SABER1120121000077;M;76001;CALI;65;71;60;55;61;61;69;88;B+;140855
SABER1120121000078;F;76001;CALI;54;49;51;41;42;44;42;45;A1;141051
SABER1120121000079;M;76001;CALI;61;71;58;43;60;49;50;51;A1;85811
SABER1120121000080;M;76001;CALI;44;57;51;27;54;48;49;43;A-;38547
SABER1120121000081;F;76001;CALI;44;33;33;36;34;42;49;40;A-;5363
SABER1120121000082;F;76001;CALI;52;33;44;39;51;47;44;35;A-;134437
SABER1120121000083;F;76001;CALI;63;78;62;60;54;57;60;52;A1;134510
SABER1120121000084;F;76001;CALI;59;34;48;41;48;49;52;40;A-;134551
SABER1120121000085;F;76001;CALI;66;54;53;57;49;47;43;52;A1;134569
SABER1120121000086;F;76001;CALI;50;46;40;38;30;45;49;47;A1;134643
SABER1120121000087;F;76001;CALI;68;54;48;67;45;53;54;43;A-;134726
SABER1120121000088;M;76001;CALI;54;52;42;34;51;45;36;70;B1;134734
SABER1120121000089;M;76001;CALI;48;65;52;46;55;56;50;57;A2;135863
SABER1120121000090;M;76001;CALI;52;43;50;42;44;37;51;47;A1;141945
SABER1120121000091;M;76001;CALI;52;40;40;34;46;50;52;33;A-;113787
SABER1120121000092;F;76001;CALI;66;47;49;45;51;48;40;37;A-;54825
SABER1120121000093;F;76001;CALI;72;69;57;61;51;60;75;72;B1;27110
SABER1120121000094;F;76001;CALI;54;54;44;47;53;53;28;59;A2;92486
SABER1120121000095;F;76001;CALI;46;46;44;41;42;38;33;40;A-;35345
SABER1120121000096;M;76001;CALI;59;52;52;46;51;52;60;51;A1;12989
SABER1120121000097;F;76001;CALI;56;59;49;47;53;55;39;61;A2;79665
SABER1120121000098;M;63001;ARMENIA;50;49;51;48;42;43;47;56;A2;133801
SABER1120121000099;F;76001;CALI;63;69;55;72;73;61;69;70;B1;33472
SABER1120121000100;M;76001;CALI;66;59;48;57;56;45;48;31;A-;8144
SABER1120121000101;F;76001;CALI;39;44;41;26;34;45;39;33;A-;144139
SABER1120121000102;F;76001;CALI;52;57;57;52;37;50;52;55;A2;144147
SABER1120121000103;F;76001;CALI;52;44;49;22;56;48;45;43;A1;144154
SABER1120121000104;M;76001;CALI;48;43;44;36;42;42;46;39;A-;144170
SABER1120121000105;F;76001;CALI;54;60;49;43;51;50;47;50;A1;144501
SABER1120121000106;M;76001;CALI;50;51;44;40;42;53;32;47;A1;91454
SABER1120121000107;F;76001;CALI;46;46;40;38;49;38;46;43;A-;43737
SABER1120121000108;F;76001;CALI;44;49;58;46;51;52;47;48;A1;65722
SABER1120121000109;M;76001;CALI;61;91;73;63;66;77;72;75;B1;22665
SABER1120121000110;F;76001;CALI;48;40;45;49;53;50;23;50;A1;111575
SABER1120121000111;M;76001;CALI;41;46;54;45;40;44;33;33;A-;144634
SABER1120121000112;M;76001;CALI;61;49;50;45;51;42;49;43;A-;144659
SABER1120121000113;F;76001;CALI;52;40;56;43;49;52;43;33;A-;144667
SABER1120121000114;M;76001;CALI;63;62;56;43;58;57;49;46;A1;144774
SABER1120121000115;F;76001;CALI;54;59;47;31;53;68;60;48;A1;144782
SABER1120121000116;M;76001;CALI;56;52;55;44;56;41;54;33;A-;144808
SABER1120121000117;M;76001;CALI;50;46;44;41;44;45;42;40;A-;144840
SABER1120121000118;M;76001;CALI;59;60;57;39;51;41;57;37;A-;144915
SABER1120121000119;F;15001;TUNJA;65;65;58;50;46;62;49;37;A-;144923
SABER1120121000120;F;15001;TUNJA;48;37;47;46;46;49;36;37;A-;144931
SABER1120121000121;M;11001;BOGOTÁ D.C.;59;49;52;48;51;52;39;35;A-;144949
SABER1120121000122;M;11001;BOGOTÁ D.C.;68;78;62;61;63;68;66;52;A1;145011
SABER1120121000123;F;15469;MONIQUIRA;54;63;57;60;56;63;63;39;A-;145029
SABER1120121000124;F;76147;CARTAGO;54;43;48;29;39;47;39;42;A-;145052
SABER1120121000125;F;11001;BOGOTÁ D.C.;48;46;50;48;49;52;60;39;A-;145060
SABER1120121000126;F;11001;BOGOTÁ D.C.;61;40;49;43;39;52;32;42;A-;145078
SABER1120121000127;M;76001;CALI;54;46;45;46;44;50;47;39;A-;148635
SABER1120121000128;F;50001;VILLAVICENCIO;57;46;48;30;47;44;37;43;A1;148676
SABER1120121000129;F;95001;SAN JOSE DEL GUAVIARE;52;49;42;41;45;53;37;48;A1;149377
SABER1120121000130;M;95001;SAN JOSE DEL GUAVIARE;44;51;42;29;42;38;42;42;A-;149393
SABER1120121000131;F;95001;SAN JOSE DEL GUAVIARE;52;55;42;32;42;41;36;39;A-;149401
SABER1120121000132;F;95001;SAN JOSE DEL GUAVIARE;52;43;47;34;42;47;47;11;A-;149419
SABER1120121000133;F;11001;BOGOTÁ D.C.;61;54;45;32;37;45;36;46;A1;9001
SABER1120121000134;F;76109;BUENAVENTURA;41;44;42;40;46;45;45;40;A-;103986
SABER1120121000135;M;76109;BUENAVENTURA;46;37;51;18;44;50;33;39;A-;21584
SABER1120121000136;F;76520;PALMIRA;54;43;45;33;45;38;37;35;A-;21980
SABER1120121000137;M;76001;CALI;41;37;40;26;37;47;59;31;A-;16014
SABER1120121000138;M;8001;BARRANQUILLA;32;34;44;33;45;47;46;42;A-;2048
SABER1120121000139;M;41001;NEIVA;52;54;51;32;61;53;59;59;A2;45146
SABER1120121000140;F;5045;APARTADO;36;41;36;41;40;42;40;37;A-;10421
SABER1120121000141;F;5045;APARTADO;35;33;38;29;37;44;36;37;A-;14258
SABER1120121000142;M;5615;RIONEGRO;52;55;28;26;46;45;54;43;A-;109314
SABER1120121000143;F;5045;APARTADO;52;41;44;41;34;45;36;43;A-;60657
SABER1120121000144;M;5045;APARTADO;41;37;36;18;44;40;47;33;A-;135228
SABER1120121000145;M;11001;BOGOTÁ D.C.;46;49;46;41;58;39;42;47;A1;135244
SABER1120121000146;M;5045;APARTADO;54;46;45;37;46;45;42;43;A1;135251
SABER1120121000147;F;5045;APARTADO;46;40;42;34;39;38;36;20;A-;140699
SABER1120121000148;M;5045;APARTADO;31;40;38;33;37;38;43;29;A-;140723
SABER1120121000149;F;5045;APARTADO;56;40;44;29;39;30;44;35;A-;140764
SABER1120121000150;F;5045;APARTADO;38;37;38;35;42;35;45;39;A-;140780
SABER1120121000151;F;5088;BELLO;46;37;34;41;42;47;36;31;A-;140822
SABER1120121000152;F;5045;APARTADO;52;40;44;32;42;40;44;31;A-;130419
SABER1120121000153;F;5045;APARTADO;48;37;42;36;51;40;33;31;A-;124032
SABER1120121000154;F;5045;APARTADO;44;40;55;50;39;44;54;40;A-;124149
SABER1120121000155;F;5045;APARTADO;50;52;44;22;37;45;36;39;A-;124164
SABER1120121000156;M;5045;APARTADO;36;52;41;34;44;43;36;42;A-;125021
SABER1120121000157;F;5045;APARTADO;41;37;44;37;39;40;36;23;A-;130583
SABER1120121000158;M;5045;APARTADO;35;43;38;33;40;29;29;35;A-;121822
SABER1120121000159;M;5045;APARTADO;54;47;41;41;49;48;37;47;A1;123075
SABER1120121000160;F;5045;APARTADO;35;46;36;36;36;37;32;35;A-;123083
SABER1120121000161;M;5045;APARTADO;41;55;42;29;56;35;39;40;A-;123125
SABER1120121000162;F;5045;APARTADO;46;46;36;22;36;39;39;45;A1;122382
SABER1120121000163;F;5045;APARTADO;46;37;48;32;36;37;39;43;A1;123224
SABER1120121000164;M;5045;APARTADO;46;46;47;41;51;47;40;45;A1;123216
SABER1120121000165;M;5045;APARTADO;48;41;39;37;42;37;42;31;A-;123307
SABER1120121000166;M;5045;APARTADO;44;41;36;18;39;40;18;35;A-;107607
SABER1120121000167;F;5045;APARTADO;50;46;40;36;51;49;39;31;A-;107615
SABER1120121000168;M;5045;APARTADO;41;34;36;34;51;25;42;42;A-;113894
SABER1120121000169;F;5045;APARTADO;50;46;42;34;44;41;32;39;A-;113902
SABER1120121000170;F;5045;APARTADO;50;37;41;42;39;43;36;39;A-;109447
SABER1120121000171;M;5045;APARTADO;52;52;44;41;34;36;25;40;A-;109454
SABER1120121000172;F;5045;APARTADO;44;43;34;39;30;38;29;26;A-;109470
SABER1120121000173;M;13001;CARTAGENA;52;74;54;48;57;56;65;65;B1;109488
SABER1120121000174;M;11001;BOGOTÁ D.C.;44;46;44;46;42;19;36;39;A-;109504
SABER1120121000175;M;20001;VALLEDUPAR;35;37;31;12;36;39;29;29;A-;109512
SABER1120121000176;M;76001;CALI;56;59;50;50;55;47;52;52;A1;115881
SABER1120121000177;M;76001;CALI;50;43;38;26;46;45;36;46;A1;115915
SABER1120121000178;M;76001;CALI;59;49;45;39;48;44;49;43;A1;115923
SABER1120121000179;F;76001;CALI;50;46;49;34;42;41;44;39;A-;115956
SABER1120121000180;F;76001;CALI;52;49;42;29;30;50;50;40;A-;115972
SABER1120121000181;M;76001;CALI;52;40;51;46;46;41;44;46;A1;115980
SABER1120121000182;M;76001;CALI;44;43;49;46;42;47;42;42;A-;115998
SABER1120121000183;M;76001;CALI;59;51;49;43;51;45;46;40;A-;149468
SABER1120121000184;F;76001;CALI;46;30;48;31;33;35;42;37;A-;149476
SABER1120121000185;M;76001;CALI;63;78;53;61;53;62;71;52;A1;149484
SABER1120121000186;M;76001;CALI;56;54;56;47;49;46;51;35;A-;126102
SABER1120121000187;F;76001;CALI;50;46;38;32;48;47;42;43;A1;124651
SABER1120121000188;M;76001;CALI;48;55;49;42;46;50;42;37;A-;125112
SABER1120121000189;M;76001;CALI;44;46;44;29;44;39;44;17;A-;125328
SABER1120121000190;F;76001;CALI;52;47;42;29;46;41;45;51;A1;125336
SABER1120121000191;F;76001;CALI;52;46;45;52;56;44;43;37;A-;125344
SABER1120121000192;F;76001;CALI;54;46;47;43;44;43;39;39;A-;128967
SABER1120121000193;M;76001;CALI;50;37;36;36;47;48;54;47;A1;129932
SABER1120121000194;M;76001;CALI;46;43;51;37;53;54;47;45;A1;129940
SABER1120121000195;M;76001;CALI;50;71;51;45;51;59;66;39;A-;123984
SABER1120121000196;M;76001;CALI;46;44;44;50;42;42;49;43;A1;96982
SABER1120121000197;F;76001;CALI;50;37;44;36;45;40;24;31;A-;96990
SABER1120121000198;M;76001;CALI;48;57;53;46;53;47;54;48;A1;97006
SABER1120121000199;F;76001;CALI;46;43;42;34;42;47;39;35;A-;97022
SABER1120121000200;F;76001;CALI;48;37;42;37;29;41;39;31;A-;122234
SABER1120121000201;M;76001;CALI;35;43;40;43;42;35;32;40;A-;124107
SABER1120121000202;F;76001;CALI;59;51;57;48;55;52;50;42;A-;124115
SABER1120121000203;F;47001;SANTA MARTA;61;62;51;43;53;60;52;75;B1;124131
SABER1120121000204;F;47001;SANTA MARTA;50;37;48;32;51;35;39;31;A-;107698
SABER1120121000205;F;47001;SANTA MARTA;56;25;42;32;37;40;33;37;A-;107706
SABER1120121000206;F;47001;SANTA MARTA;46;37;31;37;46;35;28;39;A-;107730
SABER1120121000207;F;47001;SANTA MARTA;48;18;48;54;44;37;42;43;A-;107748
SABER1120121000208;F;47001;SANTA MARTA;48;34;40;36;33;32;44;31;A-;107771
SABER1120121000209;F;47001;SANTA MARTA;39;24;38;30;30;40;37;33;A-;101840
SABER1120121000210;F;47001;SANTA MARTA;54;44;49;48;46;47;49;37;A-;101857
SABER1120121000211;M;47001;SANTA MARTA;48;43;44;34;51;36;44;47;A1;86488
SABER1120121000212;M;47001;SANTA MARTA;41;25;44;45;49;40;46;42;A-;86496
SABER1120121000213;M;47001;SANTA MARTA;50;47;53;36;45;45;46;68;B1;86504
SABER1120121000214;F;47001;SANTA MARTA;41;41;39;33;26;42;29;31;A-;86538
SABER1120121000215;F;47001;SANTA MARTA;46;46;31;26;42;43;42;33;A-;86579
SABER1120121000216;M;47001;SANTA MARTA;32;18;24;38;40;42;33;29;A-;66118
SABER1120121000217;M;47001;SANTA MARTA;38;43;31;30;20;42;40;35;A-;66126
SABER1120121000218;M;47001;SANTA MARTA;44;40;44;32;30;42;36;31;A-;66134
SABER1120121000219;M;47001;SANTA MARTA;32;41;41;38;37;44;33;37;A-;118968
SABER1120121000220;F;47001;SANTA MARTA;52;52;42;47;36;45;42;50;A1;122218
SABER1120121000221;M;47001;SANTA MARTA;41;40;47;37;51;38;36;45;A1;123240
SABER1120121000222;F;47001;SANTA MARTA;46;47;31;37;36;35;23;37;A-;122101
SABER1120121000223;F;47001;SANTA MARTA;46;46;36;27;40;40;37;29;A-;122788
SABER1120121000224;F;47001;SANTA MARTA;50;37;45;43;42;40;44;31;A-;122812
SABER1120121000225;M;47001;SANTA MARTA;39;29;38;26;34;33;39;37;A-;122408
SABER1120121000226;F;47001;SANTA MARTA;41;44;44;41;47;45;37;33;A-;122754
SABER1120121000227;F;47001;SANTA MARTA;44;47;42;23;42;48;37;23;A-;123331
SABER1120121000228;M;47001;SANTA MARTA;44;33;31;22;33;21;32;43;A1;120998
SABER1120121000229;M;47001;SANTA MARTA;46;41;34;18;46;45;50;33;A-;121004
SABER1120121000230;M;47001;SANTA MARTA;39;46;45;33;56;55;37;39;A-;131599
SABER1120121000231;F;47001;SANTA MARTA;59;44;51;50;39;45;39;42;A-;131664
SABER1120121000232;F;47001;SANTA MARTA;41;37;40;39;39;42;33;35;A-;131565
SABER1120121000233;M;47001;SANTA MARTA;41;18;38;23;42;38;40;37;A-;131771
SABER1120121000234;F;47001;SANTA MARTA;50;43;47;42;51;35;16;55;A2;131789
SABER1120121000235;M;47001;SANTA MARTA;39;37;28;26;36;37;36;31;A-;131797
SABER1120121000236;M;47001;SANTA MARTA;48;40;38;29;46;40;39;43;A1;116012
SABER1120121000237;F;47001;SANTA MARTA;41;37;33;22;36;43;47;42;A-;116020
SABER1120121000238;F;47001;SANTA MARTA;41;37;40;27;37;47;52;42;A-;116038
SABER1120121000239;M;47001;SANTA MARTA;38;34;36;36;46;39;47;31;A-;116087
SABER1120121000240;F;47001;SANTA MARTA;48;46;49;37;34;33;33;31;A-;116103
SABER1120121000241;F;47001;SANTA MARTA;50;49;28;27;49;45;7;40;A-;116129
SABER1120121000242;F;47001;SANTA MARTA;54;46;53;44;49;61;42;61;A2;130039
SABER1120121000243;M;47001;SANTA MARTA;50;34;31;23;40;29;37;26;A-;130062
SABER1120121000244;F;47001;SANTA MARTA;38;46;38;26;37;38;36;35;A-;130070
SABER1120121000245;F;47001;SANTA MARTA;41;37;40;29;30;33;36;26;A-;130088
SABER1120121000246;M;47001;SANTA MARTA;35;37;51;37;46;60;39;40;A-;131482
SABER1120121000247;M;47001;SANTA MARTA;52;51;42;27;42;42;24;47;A1;121400
SABER1120121000248;M;47001;SANTA MARTA;41;40;38;26;42;49;29;42;A-;122184
SABER1120121000249;M;47001;SANTA MARTA;48;51;0;35;44;37;45;39;A-;122390
SABER1120121000250;M;8001;BARRANQUILLA;46;49;36;40;33;41;28;33;A-;123141
SABER1120121000251;M;47001;SANTA MARTA;41;52;40;41;45;40;43;37;A-;123687
SABER1120121000252;M;47001;SANTA MARTA;48;51;38;39;34;36;42;40;A-;122929
SABER1120121000253;F;47001;SANTA MARTA;41;37;33;17;42;37;48;33;A-;149492
SABER1120121000254;M;47001;SANTA MARTA;52;46;33;46;44;42;36;40;A-;128850
SABER1120121000255;F;47001;SANTA MARTA;52;44;49;44;51;41;48;63;B1;128876
SABER1120121000256;M;47001;SANTA MARTA;48;40;44;36;39;35;44;35;A-;128983
SABER1120121000257;;47001;SANTA MARTA;46;46;54;46;49;50;47;42;A-;129130
SABER1120121000258;M;47001;SANTA MARTA;38;46;36;39;44;40;25;26;A-;129239
SABER1120121000259;M;47001;SANTA MARTA;54;46;38;41;51;40;9;51;A1;129296
SABER1120121000260;M;47001;SANTA MARTA;52;46;44;43;51;44;43;31;A-;129304
SABER1120121000261;F;47001;SANTA MARTA;52;29;49;39;49;29;32;45;A1;129361
SABER1120121000262;M;47001;SANTA MARTA;48;55;42;39;46;43;44;37;A-;129379
SABER1120121000263;M;47001;SANTA MARTA;44;37;31;19;42;40;37;39;A-;129387
SABER1120121000264;F;47001;SANTA MARTA;54;49;53;41;40;52;54;39;A-;129445
SABER1120121000265;M;47001;SANTA MARTA;41;52;40;23;42;38;37;40;A-;129510
SABER1120121000266;F;47001;SANTA MARTA;44;40;34;34;44;40;29;33;A-;129544
SABER1120121000267;M;47001;SANTA MARTA;41;37;40;29;46;42;42;33;A-;129585
SABER1120121000268;M;47001;SANTA MARTA;35;46;40;26;21;26;47;33;A-;129635
SABER1120121000269;M;47001;SANTA MARTA;50;44;48;31;49;49;42;46;A1;129643
SABER1120121000270;M;47001;SANTA MARTA;52;40;49;36;44;45;57;43;A-;129668
SABER1120121000271;M;47001;SANTA MARTA;46;43;52;27;37;42;40;40;A-;114264
SABER1120121000272;M;76001;CALI;46;48;51;49;55;44;51;43;A1;114272
SABER1120121000273;F;76001;CALI;48;39;53;28;45;47;51;46;A1;114280
SABER1120121000274;M;76001;CALI;65;57;46;49;49;47;54;51;A1;66159
SABER1120121000275;M;76001;CALI;41;42;48;52;41;56;51;33;A-;66175
SABER1120121000276;M;76001;CALI;46;45;44;49;51;42;61;43;A1;66183
SABER1120121000277;F;76001;CALI;41;39;37;45;43;42;34;31;A-;66191
SABER1120121000278;M;76001;CALI;44;43;44;33;40;45;43;46;A1;66209
SABER1120121000279;M;76001;CALI;35;37;42;34;46;41;32;35;A-;66217
SABER1120121000280;F;76001;CALI;56;46;52;45;45;53;52;53;A2;66225
SABER1120121000281;F;76001;CALI;56;43;52;37;55;52;57;46;A1;66233
SABER1120121000282;M;76001;CALI;59;57;47;50;49;59;46;45;A1;66241
SABER1120121000283;F;76001;CALI;52;59;50;48;54;59;60;45;A1;66258
SABER1120121000284;M;76001;CALI;44;40;42;35;44;39;42;40;A-;66266
SABER1120121000285;F;76001;CALI;44;30;44;37;44;49;39;42;A-;66274
SABER1120121000286;F;76001;CALI;35;43;44;32;42;36;29;37;A-;66282
SABER1120121000287;M;76001;CALI;50;49;48;31;46;47;44;43;A-;66324
SABER1120121000288;M;76001;CALI;46;54;50;48;54;53;52;72;B1;66332
SABER1120121000289;F;76001;CALI;63;49;51;61;63;62;44;65;B1;66357
SABER1120121000290;F;76001;CALI;52;33;47;50;53;42;49;48;A1;66365
SABER1120121000291;M;76001;CALI;46;51;49;34;46;44;42;48;A1;80184
SABER1120121000292;F;76001;CALI;54;52;51;39;51;54;52;45;A1;80200
SABER1120121000293;M;76001;CALI;48;51;55;35;51;39;51;50;A1;80218
SABER1120121000294;M;76001;CALI;59;57;60;45;51;50;57;55;A2;97162
SABER1120121000295;M;76001;CALI;59;57;56;42;49;71;65;43;A-;97170
SABER1120121000296;M;76001;CALI;44;37;44;36;46;47;47;47;A1;97188
SABER1120121000297;F;76001;CALI;52;46;49;52;51;55;54;40;A-;97204
SABER1120121000298;M;66001;PEREIRA;44;37;36;31;42;45;36;29;A-;97220
SABER1120121000299;M;66001;PEREIRA;48;37;41;37;46;46;36;39;A-;97238
SABER1120121000300;M;66001;PEREIRA;56;55;48;30;49;40;37;43;A-;97246
SABER1120121000301;M;66001;PEREIRA;48;43;34;42;44;41;42;31;A-;97253
SABER1120121000302;F;52835;TUMACO;54;46;45;41;34;47;33;43;A1;97279
SABER1120121000303;M;52835;TUMACO;52;52;42;41;46;62;54;48;A1;131854
SABER1120121000304;F;52835;TUMACO;46;47;39;49;51;43;45;39;A-;131961
SABER1120121000305;M;52835;TUMACO;63;62;54;53;62;60;52;59;A2;132357
SABER1120121000306;M;76895;ZARZAL;52;54;56;57;56;53;60;55;A2;132365
SABER1120121000307;M;76520;PALMIRA;50;43;60;41;53;47;47;40;A-;132522
SABER1120121000308;M;76622;ROLDANILLO;50;46;48;42;44;39;28;40;A-;132548
SABER1120121000309;F;76622;ROLDANILLO;56;37;48;46;49;45;44;43;A1;132597
SABER1120121000310;F;76622;ROLDANILLO;54;24;60;40;42;41;51;39;A-;132613
SABER1120121000311;M;76001;CALI;50;51;57;46;58;52;52;43;A-;123356
SABER1120121000312;F;76111;BUGA;48;34;47;41;51;38;43;37;A-;123505
SABER1120121000313;M;73001;IBAGUE;46;51;40;38;26;38;46;42;A-;123752
SABER1120121000314;F;68081;BARRANCABERMEJA;50;49;44;37;44;44;33;23;A-;121301
SABER1120121000315;F;68001;BUCARAMANGA;48;51;42;49;44;53;51;42;A-;121319
SABER1120121000316;F;68001;BUCARAMANGA;54;40;48;45;45;47;43;42;A-;121533
SABER1120121000317;M;54518;PAMPLONA;44;46;44;29;36;50;39;31;A-;125351
SABER1120121000318;M;68081;BARRANCABERMEJA;39;43;51;31;44;41;57;33;A-;125492
SABER1120121000319;F;68081;BARRANCABERMEJA;50;33;46;26;42;42;39;29;A-;125500
SABER1120121000320;M;25175;CHIA;59;65;50;48;58;50;54;70;B1;125526
SABER1120121000321;F;11001;BOGOTÁ D.C.;56;42;39;45;45;49;42;53;A2;125534
SABER1120121000322;M;11001;BOGOTÁ D.C.;48;54;69;63;54;57;52;70;B1;125567
